Common Name,Bayer Designation,Magnitude,RA_decimal,Dec_decimal
Sirius,alpha Canis Majoris,-1.44,101.287083,-16.716111
Canopus,alpha Carinae,-0.62,95.987917,-52.695556
Arcturus,alpha Bootis,-0.05,213.915417,19.1825
Rigel Kentaurus,alpha Centauri,-0.01,219.902083,-60.833889
Vega,alpha Lyrae,0.03,279.234583,38.783611
Capella,alpha Aurigae,0.08,79.1725,45.998056
Rigel,beta Orionis,0.18,78.634583,-8.201667
Procyon,alpha Canis Minoris,0.4,114.825417,5.225
Achernar,alpha Eridani,0.45,24.428333,-57.236667
Betelgeuse,alpha Orionis,0.45,88.792917,7.406944
Hadar,beta Centauri,0.61,210.955833,-60.373056
Altair,alpha Aquilae,0.76,297.695833,8.868333
Acrux,alpha Crucis,0.77,186.649583,-63.099167
Aldebaran,alpha Tauri,0.87,68.98,16.509167
Spica,alpha Virginis,0.98,201.298333,-11.161389
Antares,alpha Scorpii,1.06,247.352083,-26.431944
Pollux,beta Geminorum,1.16,116.32875,28.026111
Fomalhaut,alpha Piscis Austrini,1.17,344.4125,-29.622222
Deneb,alpha Cygni,1.25,310.357917,45.280278
Mimosa,beta Crucis,1.25,191.93,-59.688611
Regulus,alpha Leonis,1.36,152.092917,11.967222
Adhara,epsilon Canis Majoris,1.5,104.65625,-28.972222
Castor,alpha Geminorum,1.58,113.65,31.888333
Shaula,lambda Scorpii,1.62,263.402083,-37.103889
Gacrux,gamma Crucis,1.63,187.79125,-57.113333
Bellatrix,gamma Orionis,1.64,81.282917,6.349722
Elnath,beta Tauri,1.65,81.572917,28.6075
Miaplacidus,beta Carinae,1.67,138.3,-69.717222
Alnilam,epsilon Orionis,1.69,84.053333,-1.201944
Alnair,alpha Gruis,1.73,332.058333,-46.961111
Alnitak,zeta Orionis,1.74,85.189583,-1.942778
Alioth,epsilon Ursae Majoris,1.76,193.507083,55.959722
Mirphak,alpha Persei,1.79,51.080833,49.861111
Dubhe,alpha Ursae Majoris,1.81,165.932083,61.750833
Kaus Australis,epsilon Sagittarii,1.85,276.042917,-34.384722
Alkaid,eta Ursae Majoris,1.85,206.885,49.313333
Avior,epsilon Carinae,1.86,125.628333,-59.509444
Menkalinan,beta Aurigae,1.9,89.882083,44.9475
Atria,alpha Trianguli Australis,1.91,252.16625,-69.027778
Alhena,gamma Geminorum,1.93,99.427917,16.399167
Peacock,alpha Pavonis,1.94,306.412083,-56.735
Polaris,alpha Ursae Minoris,1.97,37.954583,89.264167
Alphard,alpha Hydrae,1.99,141.896667,-8.658611
Hamal,alpha Arietis,2.01,31.793333,23.4625
